FileName,AGRICULTURE,CITY,COAST,DESERT,FOREST,ISLAND,LAKE,MOUNTAIN,RIVER,SNOW
ISS020-E-32528.JPG,1,0,0,0,1,0,0,0,0,0
ISS010-E-27044.JPG,0,1,1,1,0,0,0,0,0,0
ISS020-E-9874.JPG,0,1,1,0,1,0,0,0,0,0
ISS008-E-6426.JPG,0,0,1,0,0,1,0,0,0,0
ISS002-E-8729.JPG,0,0,0,1,0,0,1,0,0,0
ISS016-E-14455.JPG,1,1,1,0,1,0,0,0,1,0
ISS007-E-13318.JPG,0,0,1,0,1,0,0,1,0,0
ISS009-E-14129.JPG,1,0,0,0,1,0,0,0,1,0
ISS010-E-10196.JPG,0,0,0,0,0,0,0,0,1,0
ISS018-E-5716.JPG,0,0,0,1,0,0,0,0,0,0
ISS002-E-5678_2.JPG,0,0,0,0,0,1,0,0,0,0
ISS008-E-15552.JPG,0,0,0,1,0,0,0,1,0,1
ISS002-721-19_3.JPG,0,1,1,0,0,0,0,0,0,0
ISS004-E-6515.JPG,0,0,1,1,0,0,1,0,0,0
ISS012-E-19665.JPG,0,0,0,1,0,0,0,0,0,0
ISS004-E-11166.JPG,0,0,1,0,0,1,0,0,0,0
ISS018-E-41771.JPG,1,0,0,0,1,0,0,0,0,0
ISS005-E-20714.JPG,1,0,0,0,0,0,1,0,0,0
ISS006-E-36990.JPG,0,0,1,1,0,0,0,0,0,0
ISS013-E-18555.JPG,0,0,0,1,0,0,1,0,0,0
ISS004-E-7150.JPG,0,0,0,0,0,1,0,0,0,0
ISS006-E-33330.JPG,0,0,0,0,0,1,0,0,0,0
ISS006-E-5884.JPG,0,0,0,0,0,1,0,0,0,0
ISS001-E-6411.JPG,0,0,0,0,0,0,0,0,1,0
ISS006-E-37034.JPG,0,1,0,0,0,0,0,0,1,0
ISS018-E-5713.JPG,0,0,0,1,0,0,0,0,0,0
ISS001-702-19_3.JPG,0,0,1,0,0,0,0,0,0,1
ISS002-749-91_3.JPG,0,0,0,0,0,1,0,0,0,0
ISS018-E-45459.JPG,1,0,0,0,1,0,0,0,0,0
